Pose_Class,kpt_0,kpt_1,kpt_2,kpt_3,kpt_4,kpt_5,kpt_6,kpt_7,kpt_8,kpt_9,kpt_10,kpt_11,kpt_12,kpt_13,kpt_14,kpt_15,kpt_16,kpt_17,kpt_18,kpt_19,kpt_20,kpt_21,kpt_22,kpt_23,kpt_24,kpt_25,kpt_26,kpt_27,kpt_28,kpt_29,kpt_30,kpt_31,kpt_32,kpt_33
정면_누움,343.485,376.02063,334.85468,359.00003,337.2374,376.40668,352.97385,315.8179,352.11646,359.92792,387.51822,271.71204,402.41016,362.63998,440.27454,281.2741,437.15762,360.06335,385.43048,318.23645,405.499,335.59128,616.83,301.12323,623.71014,370.95856,691.1562,279.72647,707.1434,452.22974,843.8112,293.19757,854.34503,466.90988
정면_누움,345.29788,376.79266,334.90073,358.43494,334.3879,380.17355,341.36777,318.64865,340.53775,372.1527,377.23712,273.93872,394.6062,372.92133,429.08368,264.29266,437.61105,377.33682,389.96512,310.66376,392.4371,345.7477,608.35266,301.7363,616.38605,370.31744,702.4289,291.8509,714.05145,431.6127,867.0625,315.20444,863.6709,453.24493
정면_누움,346.63763,375.41302,336.31775,356.6626,335.02298,377.85333,342.41754,317.32657,340.05585,369.22885,379.8128,280.40732,397.6125,367.68677,428.4511,278.7686,438.51196,367.31342,386.33658,308.82175,393.22894,336.66016,616.323,308.57843,623.72644,371.27692,703.7548,296.7571,713.28723,425.99344,866.701,315.55872,858.8482,444.4096
정면_누움,342.18878,374.0063,331.08176,356.8852,329.70657,378.0291,337.82,325.54733,336.18878,377.70267,379.31223,285.04626,388.6187,381.4253,427.974,259.5334,443.58527,402.62775,402.1742,300.32004,397.67834,360.24316,601.8244,307.34357,603.07227,371.19913,726.77527,312.8011,719.69214,408.87234,880.406,345.8161,875.9325,439.55106
정면_누움,340.4732,385.6165,330.61148,370.19122,331.00485,388.9454,339.91803,337.29187,340.72784,383.89502,384.46533,286.50128,391.51184,380.90445,431.22058,247.37256,428.21555,378.43588,372.43155,315.45734,378.91272,373.68732,610.42645,315.03403,612.1572,381.263,721.46747,290.69025,725.7199,413.671,873.45514,319.47842,868.43475,439.0448
정면_누움,343.35205,379.40894,332.39923,364.6605,334.75092,385.18472,341.9803,334.7461,347.92413,385.1582,392.80756,283.24734,397.7943,390.34106,435.09634,241.37848,445.80484,411.09842,376.8974,312.17282,381.5257,387.3393,616.1577,313.7114,615.1125,382.2164,733.65234,305.80655,725.36926,413.17215,879.49365,338.74768,877.22363,437.73734
정면_누움,341.8211,377.54773,331.93973,363.31204,332.4452,384.11554,341.92722,337.03058,342.96692,387.69385,386.71283,283.73474,389.74152,392.17017,434.8535,241.09583,438.49652,403.98163,373.28107,313.25882,381.47064,381.1736,600.6755,301.8158,599.58716,373.14185,726.7804,293.25903,724.5078,416.86584,875.053,321.64697,873.02966,437.6939
정면_누움,347.22562,379.9939,337.48853,363.54947,337.30615,383.64545,348.10483,328.4973,346.97864,378.0051,389.2458,288.13406,404.99158,374.58148,433.54785,272.3177,436.67285,359.383,363.21136,313.9927,375.7912,337.00555,614.6881,309.3133,621.8326,370.9789,697.1381,296.63232,710.0047,429.10983,865.4384,310.0227,861.75507,443.278
정면_누움,348.1159,378.45554,338.6485,361.48227,337.9985,384.76337,349.75412,328.2404,346.2721,384.15247,389.0376,280.18497,398.53485,389.25,443.45605,254.83405,432.5448,386.17966,365.20337,314.26678,374.2754,364.0682,604.5628,304.6582,609.6264,378.06808,696.3704,285.13586,714.14746,440.98776,866.4149,304.4643,868.93787,453.16638
정면_누움,346.5244,376.75134,336.6318,361.84656,339.74377,380.7135,354.6137,324.2168,355.42435,371.4361,391.849,277.60678,407.6471,367.62274,431.0077,269.95224,429.67688,349.5561,360.223,303.6596,378.15652,316.95084,620.2329,290.0929,625.97107,357.46378,695.57794,281.15097,705.25507,442.91492,847.5304,294.1642,852.50214,459.98053
